Year,temperature_anomaly
1000,-0.4045
1010,-0.3663
1020,-0.3232
1030,-0.3102
1040,-0.3251
1050,-0.3416
1060,-0.3558
1070,-0.3512
1080,-0.3137
1090,-0.2972
1100,-0.3471
1110,-0.4238
1120,-0.4934
1130,-0.5218
1140,-0.5234
1150,-0.5163
1160,-0.4811
1170,-0.4553
1180,-0.4668
1190,-0.5075
1200,-0.5519
1210,-0.5586
1220,-0.5317
1230,-0.5177
1240,-0.5212
1250,-0.5252
1260,-0.5424
1270,-0.5598
1280,-0.6016
1290,-0.6404
1300,-0.6101
1310,-0.5384
1320,-0.5059
1330,-0.5432
1340,-0.6203
1350,-0.6346
1360,-0.5719
1370,-0.5087
1380,-0.4758
1390,-0.46
1400,-0.4441
1410,-0.4143
1420,-0.4078
1430,-0.4253
1440,-0.4956
1450,-0.6083
1460,-0.6754
1470,-0.6514
1480,-0.594
1490,-0.5449
1500,-0.5221
1510,-0.53
1520,-0.5698
1530,-0.5858
1540,-0.5565
1550,-0.5123
1560,-0.4938
1570,-0.5495
1580,-0.6452
1590,-0.7101
1600,-0.7401
1610,-0.74
1620,-0.7274
1630,-0.7251
1640,-0.7239
1650,-0.6871
1660,-0.6399
1670,-0.6436
1680,-0.6677
1690,-0.6784
1700,-0.6866
1710,-0.6431
1720,-0.5853
1730,-0.5588
1740,-0.5548
1750,-0.5192
1760,-0.4746
1770,-0.4659
1780,-0.4723
1790,-0.479
1800,-0.5217
1810,-0.6184
1820,-0.6724
1830,-0.66
1840,-0.641
1850,-0.5767
1860,-0.524
1870,-0.5082
1880,-0.5041
1890,-0.4883
1899,-0.4584
